state_name,month_name,death,hospitalized,positive
New York,May,682785.0,0.0,10693291.0
New York,Jun,735767.0,0.0,11513492.0
New York,Jul,775428.0,0.0,12544553.0
New York,Aug,782624.0,0.0,13182876.0
New York,Sep,762100.0,0.0,13394157.0
New York,Oct,794728.0,0.0,14940695.0
New York,Nov,785758.0,0.0,17021398.0
New York,Dec,875244.0,0.0,25042189.0
North Carolina,Mar,28.0,0.0,8293.0
North Carolina,Apr,4586.0,0.0,168564.0
North Carolina,May,19758.0,0.0,571848.0
North Carolina,Jun,34002.0,0.0,1375755.0
North Carolina,Jul,49580.0,0.0,2901556.0
North Carolina,Aug,72700.0,0.0,4499595.0
North Carolina,Sep,93968.0,0.0,5664512.0
North Carolina,Oct,121625.0,0.0,7494809.0
North Carolina,Nov,144877.0,0.0,9488482.0
North Carolina,Dec,186108.0,0.0,14021544.0
North Dakota,Mar,7.0,119.0,719.0
North Dakota,Apr,294.0,1466.0,14809.0
North Dakota,May,1330.0,3992.0,57273.0
North Dakota,Jun,2366.0,6034.0,93032.0
North Dakota,Jul,2960.0,8987.0,149267.0
North Dakota,Aug,3962.0,14313.0,272508.0
North Dakota,Sep,5591.0,20636.0,495625.0
North Dakota,Oct,11968.0,37646.0,969490.0
North Dakota,Nov,22450.0,65596.0,1930942.0
North Dakota,Dec,36075.0,98387.0,2732081.0
Northern Mariana Islands,Mar,1.0,0.0,8.0
Northern Mariana Islands,Apr,54.0,0.0,354.0
Northern Mariana Islands,May,62.0,0.0,589.0
Northern Mariana Islands,Jun,60.0,0.0,861.0
Northern Mariana Islands,Jul,62.0,92.0,1093.0
Northern Mariana Islands,Aug,62.0,124.0,1576.0
Northern Mariana Islands,Sep,60.0,120.0,1889.0
Northern Mariana Islands,Oct,62.0,124.0,2544.0
Northern Mariana Islands,Nov,60.0,120.0,3029.0
Northern Mariana Islands,Dec,62.0,124.0,3534.0
Ohio,Mar,213.0,2878.0,12073.0
Ohio,Apr,12517.0,66134.0,287156.0
Ohio,May,49709.0,150319.0,847464.0
Ohio,Jun,77119.0,209182.0,1279993.0
Ohio,Jul,97128.0,287655.0,2204116.0
Ohio,Aug,118706.0,378286.0,3343527.0
Ohio,Sep,134914.0,434805.0,4190398.0
Ohio,Oct,157317.0,529388.0,5591170.0
Ohio,Nov,174314.0,680963.0,9233817.0
Ohio,Dec,240427.0,1026828.0,17895406.0
Oklahoma,Mar,101.0,907.0,3068.0
Oklahoma,Apr,3694.0,14792.0,67889.0
Oklahoma,May,8877.0,26879.0,160501.0
Oklahoma,Jun,10846.0,35389.0,277518.0
Oklahoma,Jul,13871.0,70306.0,738386.0
Oklahoma,Aug,20766.0,124997.0,1492703.0
Oklahoma,Sep,27569.0,168853.0,2177789.0
Oklahoma,Oct,36040.0,237037.0,3264217.0
Oklahoma,Nov,46232.0,314546.0,4705959.0
Oklahoma,Dec,65753.0,454468.0,7619429.0
Oregon,Mar,102.0,799.0,3814.0
Oregon,Apr,1736.0,11564.0,48661.0
Oregon,May,4111.0,21342.0,106672.0
Oregon,Jun,5351.0,27052.0,179416.0
Oregon,Jul,7745.0,39881.0,410322.0
Oregon,Aug,11943.0,58082.0,705079.0
Oregon,Sep,15289.0,69248.0,892863.0
Oregon,Oct,19065.0,88769.0,1196416.0
Oregon,Nov,23293.0,111853.0,1721271.0
Oregon,Dec,37711.0,171770.0,2961923.0
Pennsylvania,Mar,253.0,1810.0,23433.0
Pennsylvania,Apr,26374.0,5423.0,801610.0
Pennsylvania,May,130391.0,0.0,1883395.0
Pennsylvania,Jun,186687.0,0.0,2387279.0
Pennsylvania,Jul,215603.0,0.0,3065875.0
Pennsylvania,Aug,231000.0,0.0,3838520.0
Pennsylvania,Sep,237365.0,0.0,4399627.0
Pennsylvania,Oct,262385.0,0.0,5597931.0
Pennsylvania,Nov,284021.0,0.0,8239943.0
Pennsylvania,Dec,407512.0,0.0,15896077.0
Puerto Rico,Mar,34.0,0.0,982.0
Puerto Rico,Apr,1534.0,0.0,24620.0
Puerto Rico,May,3631.0,0.0,35715.0
Puerto Rico,Jun,4380.0,0.0,44123.0
Puerto Rico,Jul,5485.0,0.0,108204.0
Puerto Rico,Aug,10262.0,0.0,347276.0
Puerto Rico,Sep,16703.0,0.0,568699.0
Puerto Rico,Oct,23298.0,0.0,886241.0
Puerto Rico,Nov,28581.0,0.0,1287929.0
Puerto Rico,Dec,40694.0,0.0,2002842.0
Rhode Island,Mar,15.0,0.0,3250.0
Rhode Island,Apr,3565.0,10554.0,130816.0
Rhode Island,May,15471.0,42538.0,390081.0
Rhode Island,Jun,25484.0,56311.0,484286.0
Rhode Island,Jul,30536.0,64820.0,550599.0
Rhode Island,Aug,31787.0,73631.0,636391.0
Rhode Island,Sep,32452.0,79603.0,700672.0
Rhode Island,Oct,35781.0,93989.0,875666.0
Rhode Island,Nov,38266.0,117065.0,1328237.0
Rhode Island,Dec,49216.0,174691.0,2324927.0
South Carolina,Mar,113.0,714.0,5943.0
South Carolina,Apr,3194.0,18105.0,111739.0
South Carolina,May,11656.0,42684.0,268529.0
South Carolina,Jun,18424.0,63717.0,636474.0
South Carolina,Jul,35108.0,121328.0,1978230.0
South Carolina,Aug,70086.0,210388.0,3278566.0
South Carolina,Sep,92881.0,256343.0,4017202.0
South Carolina,Oct,112970.0,304458.0,5027463.0
South Carolina,Nov,124600.0,336771.0,5897776.0
South Carolina,Dec,149492.0,406339.0,8095910.0
South Dakota,Mar,14.0,12.0,702.0
South Dakota,Apr,211.0,2140.0,36229.0
South Dakota,May,1279.0,9451.0,118992.0
South Dakota,Jun,2282.0,16614.0,177960.0
South Dakota,Jul,3471.0,23337.0,240095.0
South Dakota,Aug,4707.0,28501.0,326993.0
South Dakota,Sep,5746.0,37029.0,529111.0
South Dakota,Oct,9767.0,64047.0,1007677.0
South Dakota,Nov,19937.0,109474.0,1938994.0
South Dakota,Dec,39406.0,161596.0,2843016.0
Tennessee,Mar,65.0,806.0,12828.0
Tennessee,Apr,3672.0,18792.0,191357.0
Tennessee,May,8915.0,44530.0,539012.0
Tennessee,Jun,14612.0,64903.0,960306.0
Tennessee,Jul,25120.0,110346.0,2257276.0
Tennessee,Aug,43362.0,180928.0,4105118.0
Tennessee,Sep,63422.0,236287.0,5290866.0
Tennessee,Oct,89651.0,294421.0,7024722.0
Tennessee,Nov,119008.0,335782.0,9404039.0
Tennessee,Dec,177826.0,414862.0,14924819.0
Texas,Mar,227.0,0.0,17003.0
Texas,Apr,11438.0,0.0,475240.0
Texas,May,39119.0,0.0,1430663.0
Texas,Jun,61207.0,0.0,2998477.0
Texas,Jul,120655.0,0.0,9117915.0
Texas,Aug,304998.0,0.0,16446299.0
Texas,Sep,431275.0,0.0,20346232.0
Texas,Oct,523085.0,0.0,25395617.0
Texas,Nov,590591.0,0.0,33609538.0
Texas,Dec,758658.0,0.0,47191295.0
Utah,Mar,20.0,73.0,5509.0
Utah,Apr,722.0,6960.0,82178.0
Utah,May,2469.0,18130.0,221281.0
Utah,Jun,4294.0,32461.0,461201.0
Utah,Jul,7258.0,59989.0,984909.0
Utah,Aug,11266.0,85818.0,1442519.0
Utah,Sep,13048.0,102571.0,1829235.0
Utah,Oct,16573.0,142210.0,2870716.0
Utah,Nov,21926.0,205313.0,4661343.0
Utah,Dec,33713.0,299965.0,7428927.0
Vermont,Mar,94.0,108.0,1853.0
Vermont,Apr,980.0,365.0,21265.0
Vermont,May,1653.0,0.0,29015.0
Vermont,Jun,1663.0,0.0,33535.0
Vermont,Jul,1738.0,0.0,41031.0
Vermont,Aug,1793.0,0.0,46849.0
Vermont,Sep,1740.0,0.0,50785.0
Vermont,Oct,1798.0,0.0,60331.0
Vermont,Nov,1831.0,0.0,93781.0
Vermont,Dec,3169.0,0.0,185427.0
Virgin Islands,Mar,0.0,0.0,215.0
Virgin Islands,Apr,58.0,0.0,1500.0
Virgin Islands,May,165.0,0.0,2116.0
Virgin Islands,Jun,180.0,0.0,2230.0
Virgin Islands,Jul,199.0,0.0,7476.0
Virgin Islands,Aug,313.0,0.0,23571.0
Virgin Islands,Sep,546.0,0.0,36969.0
Virgin Islands,Oct,636.0,0.0,41391.0
Virgin Islands,Nov,685.0,0.0,43506.0
Virgin Islands,Dec,713.0,0.0,56436.0
Virginia,Jan,0.0,0.0,0.0
Virginia,Feb,0.0,0.0,0.0
Virginia,Mar,153.0,733.0,6816.0
Virginia,Apr,7052.0,33299.0,223887.0
Virginia,May,30685.0,112241.0,925411.0
Virginia,Jun,47056.0,166480.0,1644315.0
Virginia,Jul,61641.0,217638.0,2330822.0
Virginia,Aug,74177.0,271524.0,3290350.0
Virginia,Sep,86483.0,310536.0,4069810.0
Virginia,Oct,106447.0,365403.0,5085677.0
Virginia,Nov,115120.0,407901.0,6195771.0
Virginia,Dec,140241.0,508264.0,9076350.0
Washington,Jan,0.0,0.0,24.0
Washington,Feb,13.0,0.0,202.0
Washington,Mar,2917.0,0.0,58978.0
Washington,Apr,16619.0,0.0,334293.0
Washington,May,30239.0,36424.0,586567.0
Washington,Jun,36570.0,116371.0,842743.0
Washington,Jul,44440.0,152219.0,1462954.0
Washington,Aug,54522.0,192651.0,2129128.0
Washington,Sep,60519.0,213863.0,2492328.0
Washington,Oct,69269.0,246942.0,3097842.0
Washington,Nov,76195.0,283041.0,4232330.0
Washington,Dec,93976.0,394829.0,6629701.0
West Virginia,Mar,2.0,0.0,732.0
West Virginia,Apr,488.0,0.0,20973.0
West Virginia,May,1932.0,0.0,46996.0
West Virginia,Jun,2606.0,0.0,71504.0
West Virginia,Jul,3096.0,0.0,145003.0
West Virginia,Aug,4966.0,0.0,262522.0
West Virginia,Sep,8578.0,0.0,394496.0
West Virginia,Oct,12325.0,0.0,609037.0
West Virginia,Nov,17759.0,0.0,1046960.0
West Virginia,Dec,32316.0,0.0,2081316.0
Wisconsin,Mar,105.0,337.0,10362.0
Wisconsin,Apr,5323.0,31286.0,140734.0
Wisconsin,May,13919.0,63081.0,436436.0
Wisconsin,Jun,21053.0,92074.0,778455.0
Wisconsin,Jul,26352.0,124195.0,1354496.0
Wisconsin,Aug,32409.0,163626.0,2163365.0
Wisconsin,Sep,36868.0,194859.0,3029055.0
